Noise,z:\calebroom\20150608\13\133018.mp4,20150608-135346.mp4,1433742826.793,1433742836.899,10.106s,20632,20780
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-135414.mp4,1433742854.925,1433742860.934,6.009s,21044,21132
Motion,z:\calebroom\20150608\13\133018.mp4,20150608-135623.mp4,1433742983.568,1433743000.775,17.207s,22928,23180
Noise,z:\calebroom\20150608\13\133018.mp4,20150608-135823.mp4,1433743103.744,1433743103.744,0.000s,24688,24688
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-140026.mp4,1433743226.187,1433743226.187,0.000s,120,120
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140059.mp4,1433743259.752,1433743397.833,138.081s,612,2636
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140337.mp4,1433743417.754,1433743494.981,77.227s,2928,4060
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140508.mp4,1433743508.353,1433743533.732,25.379s,4256,4628
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140545.mp4,1433743545.466,1433743555.290,9.824s,4800,4944
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140644.mp4,1433743604.137,1433743736.760,132.624s,5660,7604
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140915.mp4,1433743755.590,1433743780.150,24.560s,7880,8240
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-140959.mp4,1433743799.525,1433743803.618,4.093s,8524,8584
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141020.mp4,1433743820.810,1433743914.683,93.874s,8836,10212
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141211.mp4,1433743931.875,1433743965.986,34.111s,10464,10964
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141315.mp4,1433743995.458,1433744014.288,18.829s,11396,11672
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141345.mp4,1433744025.476,1433744089.878,64.402s,11836,12780
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141500.mp4,1433744100.793,1433744345.028,244.235s,12940,16520
Motion,z:\calebroom\20150608\14\140018.mp4,20150608-141916.mp4,1433744356.216,1433744511.763,155.546s,16684,18964
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-142342.mp4,1433744622.828,1433744622.828,0.000s,20592,20592
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-142353.mp4,1433744633.744,1433744633.744,0.000s,20752,20752
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-142444.mp4,1433744684.501,1433744684.501,0.000s,21496,21496
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-142525.mp4,1433744725.161,1433744725.161,0.000s,22092,22092
Noise,z:\calebroom\20150608\14\140018.mp4,20150608-142538.mp4,1433744738.805,1433744738.805,0.000s,22292,22292
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-143340.mp4,1433745220.883,1433745220.883,0.000s,2948,2948
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-143355.mp4,1433745235.874,1433745235.874,0.000s,3168,3168
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-143918.mp4,1433745558.867,1433745558.867,0.000s,7908,7908
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-143955.mp4,1433745595.663,1433745595.663,0.000s,8448,8448
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-144111.mp4,1433745671.165,1433745671.165,0.000s,9556,9556
Noise,z:\calebroom\20150608\14\143020.mp4,20150608-145726.mp4,1433746646.140,1433746646.140,0.000s,23864,23864
Motion,z:\calebroom\20150608\15\150021.mp4,20150608-150155.mp4,1433746915.921,1433746966.928,51.007s,1392,2140
Motion,z:\calebroom\20150608\15\150021.mp4,20150608-150345.mp4,1433747025.572,1433747103.037,77.465s,3000,4136
Motion,z:\calebroom\20150608\15\150021.mp4,20150608-150514.mp4,1433747114.220,1433747134.950,20.730s,4300,4604
Motion,z:\calebroom\20150608\15\150021.mp4,20150608-150612.mp4,1433747172.046,1433747230.690,58.644s,5148,6008
Noise,z:\calebroom\20150608\15\153022.mp4,20150608-154849.mp4,1433749729.900,1433749729.900,0.000s,16252,16252
Noise,z:\calebroom\20150608\15\153022.mp4,20150608-155249.mp4,1433749969.040,1433749969.040,0.000s,19760,19760
Noise,z:\calebroom\20150608\15\153022.mp4,20150608-155304.mp4,1433749984.583,1433749984.583,0.000s,19988,19988
Noise,z:\calebroom\20150608\15\153022.mp4,20150608-155824.mp4,1433750304.709,1433750304.709,0.000s,24684,24684
Noise,z:\calebroom\20150608\16\160023.mp4,20150608-160340.mp4,1433750620.189,1433750620.189,0.000s,2888,2888
Noise,z:\calebroom\20150608\16\160023.mp4,20150608-160353.mp4,1433750633.571,1433750637.122,3.550s,3084,3136
